Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
Q9ERK4,Exportin-2 OS=Mus musculus GN=Cse1l PE=2 SV=1 - [XPO2_MOUSE],48.51%,6,41,41,276,971,110.4,5.77
Q9ESJ0,Exportin-4 OS=Mus musculus GN=Xpo4 PE=2 SV=2 - [XPO4_MOUSE],14.94%,2,14,14,26,1151,129.9,5.12
Q924C1,Exportin-5 OS=Mus musculus GN=Xpo5 PE=2 SV=1 - [XPO5_MOUSE],47.51%,1,42,42,148,1204,136.9,5.82
Q924Z6,Exportin-6 OS=Mus musculus GN=Xpo6 PE=2 SV=2 - [XPO6_MOUSE],2.84%,3,4,4,4,1125,128.6,6.37
Q9EPK7,Exportin-7 OS=Mus musculus GN=Xpo7 PE=2 SV=3 - [XPO7_MOUSE],37.17%,2,36,36,116,1087,123.7,6.38
Q9CRT8,Exportin-T OS=Mus musculus GN=Xpot PE=2 SV=3 - [XPOT_MOUSE],18.38%,1,15,15,33,963,109.7,5.25
Q9Z0U0,Xenotropic and polytropic retrovirus receptor 1 OS=Mus musculus GN=Xpr1 PE=1 SV=1 - [XPR1_MOUSE],1.58%,1,1,1,1,695,81.7,8.24
Q60596,DNA repair protein XRCC1 OS=Mus musculus GN=Xrcc1 PE=1 SV=2 - [XRCC1_MOUSE],20.13%,1,12,12,27,631,68.9,6.33
P27641,X-ray repair cross-complementing protein 5 OS=Mus musculus GN=Xrcc5 PE=2 SV=4 - [XRCC5_MOUSE],31.69%,1,22,22,61,732,83,5.16
P23475,X-ray repair cross-complementing protein 6 OS=Mus musculus GN=Xrcc6 PE=1 SV=5 - [XRCC6_MOUSE],28.29%,5,16,16,52,608,69.4,6.79
Q9DBR1,5'-3' exoribonuclease 2 OS=Mus musculus GN=Xrn2 PE=1 SV=1 - [XRN2_MOUSE],43.74%,1,32,32,107,951,108.6,7.59
Q9EPK2,Protein XRP2 OS=Mus musculus GN=Rp2 PE=1 SV=3 - [XRP2_MOUSE],27.95%,1,12,12,31,347,39.4,5.24
Q8VCS3,Glycosaminoglycan xylosylkinase OS=Mus musculus GN=Fam20b PE=2 SV=1 - [XYLK_MOUSE],44.25%,1,14,14,28,409,46.6,6.95
Q9EPL0,Xylosyltransferase 2 OS=Mus musculus GN=Xylt2 PE=2 SV=3 - [XYLT2_MOUSE],1.16%,1,1,1,1,865,96.8,8.47
P46938,Transcriptional coactivator YAP1 OS=Mus musculus GN=Yap1 PE=1 SV=2 - [YAP1_MOUSE],60.66%,6,18,19,119,488,52.4,5.11
P62960,Nuclease-sensitive element-binding protein 1 OS=Mus musculus GN=Ybx1 PE=1 SV=3 - [YBOX1_MOUSE],54.66%,5,10,18,135,322,35.7,9.88
Q9JKB3,Y-box-binding protein 3 OS=Mus musculus GN=Ybx3 PE=1 SV=2 - [YBOX3_MOUSE],31.86%,4,6,14,83,361,38.8,9.69
Q04736,Tyrosine-protein kinase Yes OS=Mus musculus GN=Yes1 PE=1 SV=3 - [YES_MOUSE],53.79%,4,15,25,144,541,60.6,6.64
Q3TUF7,YEATS domain-containing protein 2 OS=Mus musculus GN=Yeats2 PE=2 SV=2 - [YETS2_MOUSE],1.56%,1,1,2,4,1407,148.9,9.04
Q9CR11,YEATS domain-containing protein 4 OS=Mus musculus GN=Yeats4 PE=2 SV=1 - [YETS4_MOUSE],16.30%,1,4,4,9,227,26.5,8.41
Q8C407,Protein YIPF4 OS=Mus musculus GN=Yipf4 PE=2 SV=1 - [YIPF4_MOUSE],9.76%,1,2,2,7,246,27.3,4.65
Q9EQQ2,Protein YIPF5 OS=Mus musculus GN=Yipf5 PE=2 SV=1 - [YIPF5_MOUSE],8.17%,1,2,2,17,257,27.9,4.36
Q6PIU9,Uncharacterized protein FLJ45252 homolog OS=Mus musculus PE=1 SV=2 - [YJ005_MOUSE],70.90%,1,16,16,119,354,37.7,5.07
Q9CQW1,Synaptobrevin homolog YKT6 OS=Mus musculus GN=Ykt6 PE=2 SV=1 - [YKT6_MOUSE],58.08%,1,14,14,87,198,22.3,6.35
B2RR83,Probable ATP-dependent RNA helicase YTHDC2 OS=Mus musculus GN=Ythdc2 PE=1 SV=1 - [YTDC2_MOUSE],1.52%,1,2,2,2,1445,161,8.51
P59326,YTH domain-containing family protein 1 OS=Mus musculus GN=Ythdf1 PE=2 SV=1 - [YTHD1_MOUSE],37.57%,2,8,16,56,559,60.8,8.95
Q8BYK6,YTH domain-containing family protein 3 OS=Mus musculus GN=Ythdf3 PE=1 SV=2 - [YTHD3_MOUSE],38.63%,1,11,18,72,585,63.9,9.04
Q8BGC4,Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1 - [ZADH2_MOUSE],36.34%,1,13,13,59,377,40.5,7.42
Q08376,Zinc finger and BTB domain-containing protein 14 OS=Mus musculus GN=Zbtb14 PE=2 SV=1 - [ZBT14_MOUSE],9.58%,1,4,4,5,449,50.9,6.04
Q8K0L9,Zinc finger and BTB domain-containing protein 20 OS=Mus musculus GN=Zbtb20 PE=1 SV=1 - [ZBT20_MOUSE],39.81%,6,22,22,93,741,81,6.55
O88939,Zinc finger and BTB domain-containing protein 7A OS=Mus musculus GN=Zbtb7a PE=1 SV=2 - [ZBT7A_MOUSE],26.01%,4,9,10,17,569,60.2,5.12
Q64321,Zinc finger and BTB domain-containing protein 7B OS=Mus musculus GN=Zbtb7b PE=1 SV=2 - [ZBT7B_MOUSE],1.47%,1,1,1,1,544,58.9,5.77
Q8VCZ7,Zinc finger and BTB domain-containing protein 7C OS=Mus musculus GN=Zbtb7c PE=2 SV=1 - [ZBT7C_MOUSE],3.39%,1,1,2,3,619,69,5.27
Q91VL9,Zinc finger and BTB domain-containing protein 1 OS=Mus musculus GN=Zbtb1 PE=1 SV=1 - [ZBTB1_MOUSE],0.98%,1,1,1,1,713,81.9,6.38
Q6NZF1,Zinc finger CCCH domain-containing protein 11A OS=Mus musculus GN=Zc3h11a PE=2 SV=1 - [ZC11A_MOUSE],29.92%,2,18,19,40,792,86.4,8.13
Q5D1E7,Ribonuclease ZC3H12A OS=Mus musculus GN=Zc3h12a PE=1 SV=2 - [ZC12A_MOUSE],6.04%,3,3,3,4,596,65.6,8.02
Q8BJH1,Zinc finger C2HC domain-containing protein 1A OS=Mus musculus GN=Zc2hc1a PE=2 SV=1 - [ZC21A_MOUSE],41.36%,1,13,14,50,324,35.1,9.88
Q8BJ05,Zinc finger CCCH domain-containing protein 14 OS=Mus musculus GN=Zc3h14 PE=1 SV=1 - [ZC3HE_MOUSE],35.65%,1,18,18,39,735,82.4,7.37
Q3TIV5,Zinc finger CCCH domain-containing protein 15 OS=Mus musculus GN=Zc3h15 PE=1 SV=2 - [ZC3HF_MOUSE],41.78%,1,18,18,59,426,48.3,5.3
Q9CYA6,Zinc finger CCHC domain-containing protein 8 OS=Mus musculus GN=Zcchc8 PE=2 SV=3 - [ZCHC8_MOUSE],23.70%,1,11,11,23,709,78,4.73
Q8VDZ4,Palmitoyltransferase ZDHHC5 OS=Mus musculus GN=Zdhhc5 PE=1 SV=1 - [ZDHC5_MOUSE],27.97%,2,16,16,43,715,77.5,9.01
Q80ZJ6,Protein zer-1 homolog OS=Mus musculus GN=Zer1 PE=1 SV=1 - [ZER1_MOUSE],4.24%,1,4,4,5,779,89,5.94
P23607,Zinc finger autosomal protein OS=Mus musculus GN=Zfa PE=2 SV=1 - [ZFA_MOUSE],8.89%,7,6,6,20,742,84.6,6.68
P10077,Zinc finger protein 27 OS=Mus musculus GN=Zfp27 PE=2 SV=2 - [ZFP27_MOUSE],2.44%,6,1,2,2,819,92.8,9.2
P17141,Zinc finger protein 37 OS=Mus musculus GN=Zfp37 PE=2 SV=4 - [ZFP37_MOUSE],26.60%,60,10,12,26,594,67.2,8.82
Q02526,Zinc finger protein 41 OS=Mus musculus GN=Zfp41 PE=2 SV=2 - [ZFP41_MOUSE],17.68%,6,2,3,4,198,22.7,9.8
O88532,Zinc finger RNA-binding protein OS=Mus musculus GN=Zfr PE=1 SV=2 - [ZFR_MOUSE],44.23%,6,37,37,133,1074,116.8,9.04
Q80U44,Zinc finger FYVE domain-containing protein 16 OS=Mus musculus GN=Zfyve16 PE=1 SV=2 - [ZFY16_MOUSE],10.67%,1,11,11,11,1528,166.6,4.78
Q8VCM3,Zinc finger FYVE domain-containing protein 21 OS=Mus musculus GN=Zfyve21 PE=2 SV=2 - [ZFY21_MOUSE],40.17%,1,7,8,31,234,26,8.34
Q5DU37,Zinc finger FYVE domain-containing protein 26 OS=Mus musculus GN=Zfyve26 PE=2 SV=2 - [ZFY26_MOUSE],1.07%,1,2,2,2,2529,282.8,6.21
Q3TXX3,Protrudin OS=Mus musculus GN=Zfyve27 PE=1 SV=2 - [ZFY27_MOUSE],10.84%,2,3,3,8,415,46.2,5.35
Q8C0C0,Zinc fingers and homeoboxes protein 2 OS=Mus musculus GN=Zhx2 PE=1 SV=1 - [ZHX2_MOUSE],28.71%,1,19,19,40,836,92.2,7.46
Q6P1E1,Zinc finger MIZ domain-containing protein 1 OS=Mus musculus GN=Zmiz1 PE=2 SV=1 - [ZMIZ1_MOUSE],4.48%,2,5,6,10,1072,115.8,7.44
Q9CU65,Zinc finger MYM-type protein 2 OS=Mus musculus GN=Zmym2 PE=1 SV=3 - [ZMYM2_MOUSE],13.30%,1,12,15,23,1376,154.5,6.37
A2A791,Zinc finger MYM-type protein 4 OS=Mus musculus GN=Zmym4 PE=2 SV=1 - [ZMYM4_MOUSE],8.39%,2,12,13,22,1549,172.3,6.8
Q3U2E2,Zinc finger MYM-type protein 5 OS=Mus musculus GN=Zmym5 PE=2 SV=2 - [ZMYM5_MOUSE],8.61%,1,2,5,7,627,70,7.97
Q8K3J5,Zinc finger protein 131 OS=Mus musculus GN=Znf131 PE=2 SV=1 - [ZN131_MOUSE],5.01%,1,2,2,2,619,71,5.26
O70230,Zinc finger protein 143 OS=Mus musculus GN=Znf143 PE=1 SV=2 - [ZN143_MOUSE],11.29%,1,4,4,7,638,69,6.19
Q61624,Zinc finger protein 148 OS=Mus musculus GN=Znf148 PE=1 SV=2 - [ZN148_MOUSE],6.17%,1,4,4,9,794,88.7,6.48
Q9Z2U2,Zinc finger protein 292 OS=Mus musculus GN=Zfp292 PE=1 SV=2 - [ZN292_MOUSE],0.63%,4,1,2,12,2698,300.9,7.53
O88291,DBIRD complex subunit ZNF326 OS=Mus musculus GN=Znf326 PE=2 SV=1 - [ZN326_MOUSE],31.72%,2,13,13,53,580,65.2,5.19
Q922H9,Zinc finger protein 330 OS=Mus musculus GN=Znf330 PE=2 SV=1 - [ZN330_MOUSE],24.05%,1,5,5,12,316,35.6,6.16
Q9CR50,RING finger and CHY zinc finger domain-containing protein 1 OS=Mus musculus GN=Rchy1 PE=1 SV=1 - [ZN363_MOUSE],37.16%,2,9,9,19,261,30,7.18
Q69Z99,Zinc finger protein 512 OS=Mus musculus GN=Znf512 PE=2 SV=2 - [ZN512_MOUSE],52.49%,1,28,28,104,562,63.9,9.51
Q0GGX2,Zinc finger protein 541 OS=Mus musculus GN=Znf541 PE=1 SV=1 - [ZN541_MOUSE],0.44%,1,1,1,1,1363,148.2,7.42
Q3V080,Zinc finger protein 583 OS=Mus musculus GN=Znf583 PE=2 SV=1 - [ZN583_MOUSE],4.58%,11,1,2,13,568,65.7,8.82
Q8BHZ4,Zinc finger protein 592 OS=Mus musculus GN=Znf592 PE=2 SV=3 - [ZN592_MOUSE],5.15%,3,6,6,8,1262,137.4,7.96
Q80YR4,Zinc finger protein 598 OS=Mus musculus GN=Znf598 PE=2 SV=1 - [ZN598_MOUSE],14.21%,1,11,11,22,908,99.1,8.34
Q8BZ47,Zinc finger protein 609 OS=Mus musculus GN=Znf609 PE=1 SV=2 - [ZN609_MOUSE],0.92%,1,1,1,1,1413,151,8
Q8K2R5,Zinc finger protein 668 OS=Mus musculus GN=Znf668 PE=2 SV=1 - [ZN668_MOUSE],2.10%,1,1,1,1,619,68.3,8.87
Q99LH4,Zinc finger protein 672 OS=Mus musculus GN=Znf672 PE=2 SV=1 - [ZN672_MOUSE],6.41%,1,2,2,2,468,52.1,9.36
Q9D2D7,Zinc finger protein 687 OS=Mus musculus GN=Znf687 PE=1 SV=1 - [ZN687_MOUSE],0.81%,1,1,1,1,1237,130.3,8.12
Q3TDE8,Zinc finger protein 691 OS=Mus musculus GN=Znf691 PE=2 SV=1 - [ZN691_MOUSE],21.55%,56,2,4,11,283,32.2,8.34
Q6NZQ6,Zinc finger protein 740 OS=Mus musculus GN=Znf740 PE=1 SV=1 - [ZN740_MOUSE],39.44%,2,6,6,9,180,20.9,9.19
Q8BIF9,Zinc finger protein 787 OS=Mus musculus GN=Znf787 PE=2 SV=3 - [ZN787_MOUSE],16.01%,1,4,4,8,381,40.5,8.24
Q0VEE6,Zinc finger protein 800 OS=Mus musculus GN=Znf800 PE=1 SV=1 - [ZN800_MOUSE],7.85%,3,5,5,9,662,74.8,9.42
Q8R1N0,Zinc finger protein 830 OS=Mus musculus GN=Znf830 PE=1 SV=1 - [ZN830_MOUSE],30.03%,1,7,7,16,363,40.6,5.4
Q9ERU3,Zinc finger protein 22 OS=Mus musculus GN=Znf22 PE=1 SV=2 - [ZNF22_MOUSE],59.92%,55,14,16,59,237,27.3,10.29
Q91VN1,Zinc finger protein 24 OS=Mus musculus GN=Znf24 PE=1 SV=1 - [ZNF24_MOUSE],16.30%,6,3,4,6,368,41.9,6.04
Q8R151,NFX1-type zinc finger-containing protein 1 OS=Mus musculus GN=Znfx1 PE=2 SV=3 - [ZNFX1_MOUSE],26.09%,4,37,39,74,1909,218.7,7.47
Q71FD5,E3 ubiquitin-protein ligase ZNRF2 OS=Mus musculus GN=Znrf2 PE=1 SV=1 - [ZNRF2_MOUSE],60.50%,2,9,9,25,238,23.7,6.76
Q60738,Zinc transporter 1 OS=Mus musculus GN=Slc30a1 PE=1 SV=1 - [ZNT1_MOUSE],15.31%,1,6,6,12,503,54.7,6.62
Q8R4H9,Zinc transporter 5 OS=Mus musculus GN=Slc30a5 PE=2 SV=1 - [ZNT5_MOUSE],9.07%,1,5,5,6,761,83.7,7.39
Q8BJM5,Zinc transporter 6 OS=Mus musculus GN=Slc30a6 PE=1 SV=1 - [ZNT6_MOUSE],9.78%,2,3,4,12,460,51,9.29
P39447,Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2 - [ZO1_MOUSE],74.44%,2,3,131,2179,1745,194.6,6.64
Q9Z0U1,Tight junction protein ZO-2 OS=Mus musculus GN=Tjp2 PE=1 SV=2 - [ZO2_MOUSE],59.55%,5,69,71,349,1167,131.2,6.79
Q9D9X6,E3 ubiquitin-protein ligase Zswim2 OS=Mus musculus GN=Zswim2 PE=1 SV=1 - [ZSWM2_MOUSE],4.28%,2,2,2,3,631,71.7,9.03
Q3UHH1,Zinc finger SWIM domain-containing protein 8 OS=Mus musculus GN=Zswim8 PE=1 SV=1 - [ZSWM8_MOUSE],10.04%,1,13,13,23,1832,196.9,6.84
O54692,Centromere/kinetochore protein zw10 homolog OS=Mus musculus GN=Zw10 PE=2 SV=3 - [ZW10_MOUSE],27.60%,1,17,17,41,779,88,5.92
Q3UFS0,Protein zyg-11 homolog B OS=Mus musculus GN=Zyg11b PE=2 SV=2 - [ZY11B_MOUSE],12.63%,1,7,7,14,744,83.9,6.87
Q62523,Zyxin OS=Mus musculus GN=Zyx PE=1 SV=2 - [ZYX_MOUSE],44.68%,1,18,18,155,564,60.5,6.4
Q6ZWZ7,60S ribosomal protein L17 OS=Mus musculus GN=Rpl17 PE=2 SV=1 - [Q6ZWZ7_MOUSE],65.22%,4,19,20,220,184,21.4,10.18
E9Q5K9,YTH domain-containing protein 1 OS=Mus musculus GN=Ythdc1 PE=2 SV=2 - [YTDC1_MOUSE],15.49%,2,12,12,28,736,85.6,6.16
Q91YT7,YTH domain-containing family protein 2 OS=Mus musculus GN=Ythdf2 PE=2 SV=1 - [YTHD2_MOUSE],23.83%,2,5,12,47,579,62.2,8.79
Q6ZWQ9,MCG5400 OS=Mus musculus GN=Myl12a PE=1 SV=1 - [Q6ZWQ9_MOUSE],66.28%,9,4,16,479,172,19.9,4.81
Q6ZWQ5,"Sorting nexin 12, isoform CRA_c OS=Mus musculus GN=Snx12 PE=1 SV=1 - [Q6ZWQ5_MOUSE]",73.46%,4,11,13,168,162,18.9,8.44
G5E829,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus GN=Atp2b1 PE=1 SV=1 - [AT2B1_MOUSE],51.80%,4,48,65,396,1220,134.7,5.91
A3KFM7,Chromodomain-helicase-DNA-binding protein 6 OS=Mus musculus GN=Chd6 PE=1 SV=1 - [CHD6_MOUSE],3.87%,10,6,12,24,2711,305.2,6.38
B9EJR8,"Dynein assembly factor 5, axonemal OS=Mus musculus GN=Heatr2 PE=2 SV=1 - [DAAF5_MOUSE]",10.79%,1,9,9,21,853,93.8,6.15
B2RWS6,Histone acetyltransferase p300 OS=Mus musculus GN=Ep300 PE=1 SV=2 - [EP300_MOUSE],6.09%,2,8,12,21,2412,263.1,8.54
Q6ZQ58,La-related protein 1 OS=Mus musculus GN=Larp1 PE=1 SV=3 - [LARP1_MOUSE],26.21%,3,23,23,51,1072,121,8.79
Q9QXS1,Plectin OS=Mus musculus GN=Plec PE=1 SV=3 - [PLEC_MOUSE],76.08%,5,239,432,2927,4691,533.9,5.96
Q8BVY0,Ribosomal L1 domain-containing protein 1 OS=Mus musculus GN=Rsl1d1 PE=2 SV=1 - [RL1D1_MOUSE],47.57%,1,19,19,55,452,50.4,9.98
Q5S003,Sperm-associated antigen 17 OS=Mus musculus GN=Spag17 PE=1 SV=2 - [SPG17_MOUSE],0.52%,2,1,2,10,2320,262.9,6.16
Q3TWW8,Serine/arginine-rich splicing factor 6 OS=Mus musculus GN=Srsf6 PE=2 SV=1 - [SRSF6_MOUSE],42.48%,2,16,20,108,339,39,11.46
Q8JZU2,"Tricarboxylate transport protein, mitochondrial OS=Mus musculus GN=Slc25a1 PE=2 SV=1 - [TXTP_MOUSE]",46.30%,2,12,12,36,311,33.9,9.89
Q9JMD0,BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Mus musculus GN=Znf207 PE=2 SV=1 - [ZN207_MOUSE],15.56%,4,8,8,41,495,52.8,9.1
A7VMS6,MHC classIb T5 OS=Mus musculus GN=Gm8909 PE=2 SV=2 - [A7VMS6_MOUSE],4.62%,8,0,3,8,368,41.6,5.82
Q3U2G2,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1 - [Q3U2G2_MOUSE],89.79%,1,3,91,867,842,94.1,5.21
Q3UHJ1,TNF receptor-associated factor 3 OS=Mus musculus GN=Traf3 PE=2 SV=1 - [Q3UHJ1_MOUSE],19.56%,2,7,7,8,542,61.5,8.03
V9GWY0,40S ribosomal protein S4 OS=Mus musculus GN=Gm15013 PE=3 SV=1 - [V9GWY0_MOUSE],47.37%,1,1,17,170,266,29.9,9.99
B2RQC7,DIP2 disco-interacting protein 2 homolog B (Drosophila) OS=Mus musculus GN=Dip2b PE=2 SV=1 - [B2RQC7_MOUSE],34.63%,2,1,36,152,1340,146.6,8.03
Q3ULL6,Protein Upf3b OS=Mus musculus GN=Upf3b PE=2 SV=1 - [Q3ULL6_MOUSE],11.86%,2,5,5,11,472,57,9.44
Q9Z1M2,Interferon-g induced GTPase OS=Mus musculus GN=Irgm2 PE=1 SV=1 - [Q9Z1M2_MOUSE],21.52%,1,5,6,9,395,45.2,6.96
Q5U452,MCG14616 OS=Mus musculus GN=2810408M09Rik PE=2 SV=1 - [Q5U452_MOUSE],28.69%,2,1,5,19,244,27.4,9.07
P79568,Class Ib MHC antigen Qa-2 OS=Mus musculus GN=H2-Q6 PE=3 SV=1 - [P79568_MOUSE],50.92%,5,11,19,92,326,37.4,6.24
Q3TVF4,Geranylgeranyl transferase type-2 subunit beta OS=Mus musculus GN=Rabggtb PE=2 SV=1 - [Q3TVF4_MOUSE],21.45%,2,7,7,20,331,36.9,5.08
Q8CAP3,Rad23a protein OS=Mus musculus GN=Rad23a PE=1 SV=1 - [Q8CAP3_MOUSE],55.80%,1,1,14,75,362,39.6,4.58
G3X8Y3,"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Mus musculus GN=Naa15 PE=1 SV=1 - [G3X8Y3_MOUSE]",49.48%,3,34,40,172,865,101,7.52
Q8CFB8,NAD+ ADP-ribosyltransferase 3 PARP-3 OS=Mus musculus GN=Parp3 PE=2 SV=1 - [Q8CFB8_MOUSE],38.64%,4,16,16,37,528,59.4,7.12
Q8K0N0,Dystrobrevin OS=Mus musculus GN=Dtnb PE=2 SV=1 - [Q8K0N0_MOUSE],51.83%,16,20,29,95,602,68.1,8.6
Q6NXL1,Protein Sec24d OS=Mus musculus GN=Sec24d PE=2 SV=1 - [Q6NXL1_MOUSE],23.93%,1,20,21,80,1032,112.6,7.18
A2ACM0,Regulatory-associated protein of mTOR OS=Mus musculus GN=Rptor PE=1 SV=1 - [A2ACM0_MOUSE],22.25%,7,24,24,68,1335,149.4,6.87
Q8VFV9,Olfactory receptor OS=Mus musculus GN=Olfr1459 PE=2 SV=1 - [Q8VFV9_MOUSE],6.84%,1,1,1,1,307,34.5,7.61
Q3UUV0,Protein Ciz1 OS=Mus musculus GN=Ciz1 PE=2 SV=1 - [Q3UUV0_MOUSE],12.26%,7,6,6,7,791,87.4,5.47
B9EJ54,"MCG21756, isoform CRA_b OS=Mus musculus GN=Nup205 PE=2 SV=1 - [B9EJ54_MOUSE]",31.32%,2,53,54,182,2008,227.3,6.34
Q8BVY4,Protein Supt3 OS=Mus musculus GN=Supt3 PE=1 SV=1 - [Q8BVY4_MOUSE],3.21%,1,1,1,1,374,41.2,8.54
G5E850,"Cytochrome b-5, isoform CRA_a OS=Mus musculus GN=Cyb5a PE=1 SV=1 - [G5E850_MOUSE]",73.47%,3,8,8,119,98,11.1,5.3
Q8CG29,Myosin IF OS=Mus musculus GN=Myo1f PE=1 SV=1 - [Q8CG29_MOUSE],10.84%,3,1,12,168,1098,125.1,9.17
G5E8V8,Phosphorylated adapter RNA export protein OS=Mus musculus GN=Phax PE=1 SV=1 - [G5E8V8_MOUSE],15.70%,3,4,4,7,363,40.8,6.02
Q6DFZ1,Golgi-specific brefeldin A-resistance factor 1 OS=Mus musculus GN=Gbf1 PE=1 SV=1 - [Q6DFZ1_MOUSE],28.00%,8,35,39,133,1861,206.7,5.8
Q3UIX4,Protein Srsf11 OS=Mus musculus GN=Srsf11 PE=1 SV=1 - [Q3UIX4_MOUSE],19.96%,9,8,8,47,476,53.1,10.58
Q3UXD9,Peroxisomal trans-2-enoyl-CoA reductase OS=Mus musculus GN=Pecr PE=1 SV=1 - [Q3UXD9_MOUSE],34.62%,4,8,8,21,260,28.1,7.33
G5E846,Peripherin OS=Mus musculus GN=Prph PE=3 SV=1 - [G5E846_MOUSE],7.16%,3,1,6,313,475,54.3,5.52
G5E8W8,Zinc finger protein 185 OS=Mus musculus GN=Zfp185 PE=4 SV=1 - [G5E8W8_MOUSE],75.51%,4,36,37,299,486,52.8,6.34
Q9D937,MCG127334 OS=Mus musculus GN=1810009A15Rik PE=2 SV=1 - [Q9D937_MOUSE],41.46%,4,4,5,20,123,14.1,11.47
G3UX26,Voltage-dependent anion-selective channel protein 2 (Fragment) OS=Mus musculus GN=Vdac2 PE=1 SV=1 - [G3UX26_MOUSE],71.73%,4,20,21,325,283,30.4,7.58
G5E8R3,Pyruvate carboxylase OS=Mus musculus GN=Pcx PE=1 SV=1 - [G5E8R3_MOUSE],52.29%,3,44,44,151,1178,129.6,6.71
Q8CIH9,Amidophosphoribosyltransferase OS=Mus musculus GN=Ppat PE=1 SV=1 - [Q8CIH9_MOUSE],43.71%,1,21,21,104,517,57.4,6.96
B2RT41,Protein Zfc3h1 OS=Mus musculus GN=Zfc3h1 PE=2 SV=1 - [B2RT41_MOUSE],2.51%,1,3,4,5,1992,224.9,8.15
G3X9R9,Adrenomedullin receptor OS=Mus musculus GN=Gpr182 PE=3 SV=1 - [G3X9R9_MOUSE],5.78%,2,2,2,5,398,45.4,7.93
D3YXZ3,Kinesin light chain 2 OS=Mus musculus GN=Klc2 PE=1 SV=1 - [D3YXZ3_MOUSE],60.62%,5,30,42,195,617,68.1,7.06
Q4FE56,Ubiquitin carboxyl-terminal hydrolase OS=Mus musculus GN=Usp9x PE=1 SV=1 - [Q4FE56_MOUSE],43.70%,11,76,109,548,2554,290,5.83
Q60607,BRK-1T OS=Mus musculus GN=Bmpr1a PE=2 SV=1 - [Q60607_MOUSE],7.40%,3,2,3,10,500,56.4,6.71
G5E884,Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1 - [G5E884_MOUSE],72.79%,3,33,42,508,544,60.6,5.86
E9PV80,Nuclear receptor coactivator 2 OS=Mus musculus GN=Ncoa2 PE=1 SV=1 - [E9PV80_MOUSE],6.46%,2,7,7,9,1393,151.3,6.62
G5E8A0,Oxysterol-binding protein OS=Mus musculus GN=Osbpl11 PE=1 SV=1 - [G5E8A0_MOUSE],49.54%,2,24,24,83,757,84.3,7.08
E9Q0Y4,Signal-induced proliferation-associated protein 1 OS=Mus musculus GN=Sipa1 PE=1 SV=1 - [E9Q0Y4_MOUSE],21.19%,2,18,18,30,1038,112.2,6.44
G5E8Q4,Cytohesin-3 OS=Mus musculus GN=Cyth3 PE=4 SV=1 - [G5E8Q4_MOUSE],11.97%,12,4,4,8,351,40.8,6.8
G3UVV4,"Hexokinase 1, isoform CRA_f OS=Mus musculus GN=Hk1 PE=3 SV=1 - [G3UVV4_MOUSE]",58.56%,14,50,50,243,917,101.8,6.67
G3X9Y6,"Aldo-keto reductase family 1, member C19 OS=Mus musculus GN=Akr1c19 PE=4 SV=1 - [G3X9Y6_MOUSE]",8.05%,3,2,3,17,323,37,7.23
F8WHY8,Metastasis-associated protein MTA1 OS=Mus musculus GN=Mta1 PE=1 SV=1 - [F8WHY8_MOUSE],39.26%,1,2,24,66,698,79.1,9.42
Q60709,Amyloid-like protein 2 OS=Mus musculus GN=Aplp2 PE=2 SV=1 - [Q60709_MOUSE],22.37%,2,12,13,26,751,85.2,4.73
Q6XPS7,L-threonine aldolase OS=Mus musculus GN=Tha1 PE=2 SV=1 - [Q6XPS7_MOUSE],6.50%,1,2,2,3,400,43.5,7.2
B7ZP47,Wapal protein OS=Mus musculus GN=Wapal PE=1 SV=1 - [B7ZP47_MOUSE],22.28%,4,16,16,34,1194,133.3,5.47
Q99LB4,"Capping protein (Actin filament), gelsolin-like OS=Mus musculus GN=Capg PE=1 SV=1 - [Q99LB4_MOUSE]",6.02%,4,3,3,4,349,38.7,6.95
A2AJ26,ATP-binding cassette sub-family A member 2 OS=Mus musculus GN=Abca2 PE=1 SV=1 - [A2AJ26_MOUSE],17.43%,2,32,35,79,2433,270.4,6.47
B2RQS1,Striatin-3 OS=Mus musculus GN=Strn3 PE=1 SV=1 - [B2RQS1_MOUSE],41.29%,1,1,29,189,712,77.7,5.22
Q91ZE6,Beta-spectrin 4 OS=Mus musculus GN=Sptbn4 PE=1 SV=1 - [Q91ZE6_MOUSE],4.42%,5,2,15,168,2555,288,6
Q3U0V6,Protein Zfp277 OS=Mus musculus GN=Zfp277 PE=2 SV=1 - [Q3U0V6_MOUSE],5.03%,2,3,3,3,457,53.6,5.52
Q6GTM0,Ifit2 protein OS=Mus musculus GN=Ifit2 PE=2 SV=1 - [Q6GTM0_MOUSE],23.40%,18,6,9,14,470,54.7,7.43
